"","agencyname","month","count"
"1","ACER",2015-07-01,0
"2","ACER",2015-08-01,0
"3","ACER",2015-09-01,0
"4","ACER",2015-10-01,0
"5","ACER",2015-11-01,0
"6","ACER",2015-12-01,0
"7","ACER",2016-01-01,0
"8","ACER",2016-02-01,0
"9","ACER",2016-03-01,0
"10","ACER",2016-04-01,0
"11","ACER",2016-05-01,0
"12","ACER",2016-06-01,0
"13","ACER",2016-07-01,0
"14","ACER",2016-08-01,0
"15","ACER",2016-09-01,0
"16","ACER",2016-10-01,0
"17","ACER",2016-11-01,0
"18","ACER",2016-12-01,0
"19","ACER",2017-01-01,0
"20","ACER",2017-02-01,0
"21","ACER",2017-03-01,0
"22","ACER",2017-04-01,0
"23","ACER",2017-05-01,0
"24","ACER",2017-06-01,0
"25","ACER",2017-07-01,0
"26","ACER",2017-08-01,30
"27","ACER",2017-09-01,38
"28","ACER",2017-10-01,139
"29","ACER",2017-11-01,155
"30","ACER",2017-12-01,79
"31","ACER",2018-01-01,128
"32","ACER",2018-02-01,101
"33","ACER",2018-03-01,105
"34","ACER",2018-04-01,124
"35","ACER",2018-05-01,172
"36","ACER",2018-06-01,87
"37","ACER",2018-07-01,134
"38","ACER",2018-08-01,24
"39","ACER",2018-09-01,105
"40","ACER",2018-10-01,250
"41","ACER",2018-11-01,80
"42","ACER",2018-12-01,162
"43","ACER",2019-01-01,136
"44","ACER",2019-02-01,114
"45","ACER",2019-03-01,87
"46","ACER",2019-04-01,59
"47","ACER",2019-05-01,168
"48","ACER",2019-06-01,83
"49","ACER",2019-07-01,100
"50","ACER",2019-08-01,99
"51","ACER",2019-09-01,172
"52","ACER",2019-10-01,196
"53","ACER",2019-11-01,266
"54","ACER",2019-12-01,88
"55","ACER",2020-01-01,239
"56","ACER",2020-02-01,97
"57","ACER",2020-03-01,32
"58","ACER",2020-04-01,169
"59","ACER",2020-05-01,84
"60","ACER",2020-06-01,189
"61","ACER",2020-07-01,297
"62","ACER",2020-08-01,99
"63","ACER",2020-09-01,272
"64","ACER",2020-10-01,354
"65","ACER",2020-11-01,110
"66","ACER",2020-12-01,176
"67","ACER",2021-01-01,160
"68","ACER",2021-02-01,199
"69","ACER",2021-03-01,283
"70","ACER",2021-04-01,71
"71","ACER",2021-05-01,206
"72","ACER",2021-06-01,249
"73","BEREC OFFICE",2015-07-01,89
"74","BEREC OFFICE",2015-08-01,77
"75","BEREC OFFICE",2015-09-01,98
"76","BEREC OFFICE",2015-10-01,409
"77","BEREC OFFICE",2015-11-01,159
"78","BEREC OFFICE",2015-12-01,232
"79","BEREC OFFICE",2016-01-01,89
"80","BEREC OFFICE",2016-02-01,168
"81","BEREC OFFICE",2016-03-01,180
"82","BEREC OFFICE",2016-04-01,85
"83","BEREC OFFICE",2016-05-01,269
"84","BEREC OFFICE",2016-06-01,759
"85","BEREC OFFICE",2016-07-01,6573
"86","BEREC OFFICE",2016-08-01,1046
"87","BEREC OFFICE",2016-09-01,270
"88","BEREC OFFICE",2016-10-01,402
"89","BEREC OFFICE",2016-11-01,115
"90","BEREC OFFICE",2016-12-01,190
"91","BEREC OFFICE",2017-01-01,147
"92","BEREC OFFICE",2017-02-01,189
"93","BEREC OFFICE",2017-03-01,257
"94","BEREC OFFICE",2017-04-01,107
"95","BEREC OFFICE",2017-05-01,131
"96","BEREC OFFICE",2017-06-01,293
"97","BEREC OFFICE",2017-07-01,114
"98","BEREC OFFICE",2017-08-01,32
"99","BEREC OFFICE",2017-09-01,106
"100","BEREC OFFICE",2017-10-01,469
"101","BEREC OFFICE",2017-11-01,213
"102","BEREC OFFICE",2017-12-01,449
"103","BEREC OFFICE",2018-01-01,129
"104","BEREC OFFICE",2018-02-01,119
"105","BEREC OFFICE",2018-03-01,278
"106","BEREC OFFICE",2018-04-01,234
"107","BEREC OFFICE",2018-05-01,82
"108","BEREC OFFICE",2018-06-01,300
"109","BEREC OFFICE",2018-07-01,135
"110","BEREC OFFICE",2018-08-01,51
"111","BEREC OFFICE",2018-09-01,47
"112","BEREC OFFICE",2018-10-01,370
"113","BEREC OFFICE",2018-11-01,160
"114","BEREC OFFICE",2018-12-01,243
"115","BEREC OFFICE",2019-01-01,97
"116","BEREC OFFICE",2019-02-01,71
"117","BEREC OFFICE",2019-03-01,128
"118","BEREC OFFICE",2019-04-01,164
"119","BEREC OFFICE",2019-05-01,344
"120","BEREC OFFICE",2019-06-01,310
"121","BEREC OFFICE",2019-07-01,45
"122","BEREC OFFICE",2019-08-01,58
"123","BEREC OFFICE",2019-09-01,65
"124","BEREC OFFICE",2019-10-01,333
"125","BEREC OFFICE",2019-11-01,104
"126","BEREC OFFICE",2019-12-01,175
"127","BEREC OFFICE",2020-01-01,93
"128","BEREC OFFICE",2020-02-01,75
"129","BEREC OFFICE",2020-03-01,258
"130","BEREC OFFICE",2020-04-01,251
"131","BEREC OFFICE",2020-05-01,238
"132","BEREC OFFICE",2020-06-01,180
"133","BEREC OFFICE",2020-07-01,119
"134","BEREC OFFICE",2020-08-01,50
"135","BEREC OFFICE",2020-09-01,162
"136","BEREC OFFICE",2020-10-01,147
"137","BEREC OFFICE",2020-11-01,97
"138","BEREC OFFICE",2020-12-01,126
"139","BEREC OFFICE",2021-01-01,43
"140","BEREC OFFICE",2021-02-01,53
"141","BEREC OFFICE",2021-03-01,168
"142","BEREC OFFICE",2021-04-01,180
"143","BEREC OFFICE",2021-05-01,294
"144","BEREC OFFICE",2021-06-01,219
"145","CEDEFOP",2015-07-01,351
"146","CEDEFOP",2015-08-01,208
