"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"1","ACER","2015-07-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BEREC OFFICE","2015-07-01",36,"yes",0,0,0,0,0,0,89,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CEDEFOP","2015-07-01",7,"yes",1,0,1,0,0,1,351,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CPVO","2015-07-01",17,"yes",1,0,1,0,1,0,18,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","EASA","2015-07-01",4,"yes",5,0,5,3,0,2,419,0,3,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","EBA","2015-07-01",17,"yes",1,0,1,0,1,0,240,0,3,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ECDC","2015-07-01",24,"yes",3,0,3,2,1,0,1835,0,2,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ECHA","2015-07-01",57,"yes",4,0,4,2,2,0,263,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","EEA","2015-07-01",67,"yes",26,0,26,11,9,6,1874,0,1,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","EFCA","2015-07-01",16,"yes",0,0,0,0,0,0,14,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","EFSA","2015-07-01",44,"yes",8,0,8,5,1,2,739,0,6,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","EIGE","2015-07-01",10,"yes",0,0,0,0,0,0,217,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","EIOPA","2015-07-01",10,"yes",3,0,3,1,2,0,152,0,1,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","EMA","2015-07-01",169,"yes",6,3,9,5,3,1,1194,0,13,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","EMCDDA","2015-07-01",10,"yes",4,0,4,2,0,2,404,0,2,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","EMSA","2015-07-01",15,"yes",0,0,0,0,0,0,43,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ENISA","2015-07-01",26,"yes",5,0,5,3,2,0,498,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ERA","2015-07-01",11,"yes",2,0,2,1,0,1,38,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ESMA","2015-07-01",33,"yes",2,0,2,2,0,0,448,0,2,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","EU-OSHA","2015-07-01",59,"yes",3,0,3,2,1,0,483,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","EUIPO","2015-07-01",45,"yes",4,0,4,1,2,1,0,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","EUROFOUND","2015-07-01",24,"yes",5,0,5,2,2,1,400,0,1,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","FRA","2015-07-01",21,"yes",6,0,6,2,1,3,352,1,1,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","FRONTEX","2015-07-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,1,27,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","SRB","2015-07-01",5,"yes",0,0,0,0,0,0,10,0,1,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ACER","2015-08-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,1,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","BEREC OFFICE","2015-08-01",24,"yes",0,0,0,0,0,0,77,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
