"","agencyname","month","hearing"
"1","BEREC OFFICE",2015-07-01,0
"2","BEREC OFFICE",2015-08-01,0
"3","BEREC OFFICE",2015-09-01,0
"4","BEREC OFFICE",2015-10-01,0
"5","BEREC OFFICE",2015-11-01,0
"6","BEREC OFFICE",2015-12-01,0
"7","BEREC OFFICE",2016-01-01,1
"8","BEREC OFFICE",2016-02-01,0
"9","BEREC OFFICE",2016-03-01,0
"10","BEREC OFFICE",2016-04-01,0
"11","BEREC OFFICE",2016-05-01,0
"12","BEREC OFFICE",2016-06-01,0
"13","BEREC OFFICE",2016-07-01,0
"14","BEREC OFFICE",2016-08-01,0
"15","BEREC OFFICE",2016-09-01,0
"16","BEREC OFFICE",2016-10-01,0
"17","BEREC OFFICE",2016-11-01,0
"18","BEREC OFFICE",2016-12-01,0
"19","BEREC OFFICE",2017-01-01,1
"20","BEREC OFFICE",2017-02-01,0
"21","BEREC OFFICE",2017-03-01,0
"22","BEREC OFFICE",2017-04-01,0
"23","BEREC OFFICE",2017-05-01,0
"24","BEREC OFFICE",2017-06-01,0
"25","BEREC OFFICE",2017-07-01,0
"26","BEREC OFFICE",2017-08-01,0
"27","BEREC OFFICE",2017-09-01,0
"28","BEREC OFFICE",2017-10-01,0
"29","BEREC OFFICE",2017-11-01,0
"30","BEREC OFFICE",2017-12-01,0
"31","BEREC OFFICE",2018-01-01,0
"32","BEREC OFFICE",2018-02-01,0
"33","BEREC OFFICE",2018-03-01,0
"34","BEREC OFFICE",2018-04-01,0
"35","BEREC OFFICE",2018-05-01,0
"36","BEREC OFFICE",2018-06-01,0
"37","BEREC OFFICE",2018-07-01,0
"38","BEREC OFFICE",2018-08-01,0
"39","BEREC OFFICE",2018-09-01,0
"40","BEREC OFFICE",2018-10-01,0
"41","BEREC OFFICE",2018-11-01,1
"42","BEREC OFFICE",2018-12-01,0
"43","BEREC OFFICE",2019-01-01,0
"44","BEREC OFFICE",2019-02-01,0
"45","BEREC OFFICE",2019-03-01,0
"46","BEREC OFFICE",2019-04-01,0
"47","CEDEFOP",2015-07-01,0
"48","CEDEFOP",2015-08-01,0
"49","CEDEFOP",2015-09-01,0
"50","CEDEFOP",2015-10-01,0
"51","CEDEFOP",2015-11-01,0
"52","CEDEFOP",2015-12-01,0
"53","CEDEFOP",2016-01-01,0
"54","CEDEFOP",2016-02-01,0
"55","CEDEFOP",2016-03-01,0
"56","CEDEFOP",2016-04-01,0
"57","CEDEFOP",2016-05-01,0
"58","CEDEFOP",2016-06-01,0
"59","CEDEFOP",2016-07-01,0
"60","CEDEFOP",2016-08-01,0
"61","CEDEFOP",2016-09-01,0
"62","CEDEFOP",2016-10-01,0
"63","CEDEFOP",2016-11-01,0
"64","CEDEFOP",2016-12-01,0
"65","CEDEFOP",2017-01-01,0
"66","CEDEFOP",2017-02-01,0
"67","CEDEFOP",2017-03-01,0
"68","CEDEFOP",2017-04-01,0
"69","CEDEFOP",2017-05-01,0
"70","CEDEFOP",2017-06-01,0
"71","CEDEFOP",2017-07-01,0
"72","CEDEFOP",2017-08-01,0
"73","CEDEFOP",2017-09-01,0
"74","CEDEFOP",2017-10-01,0
"75","CEDEFOP",2017-11-01,0
"76","CEDEFOP",2017-12-01,0
"77","CEDEFOP",2018-01-01,0
"78","CEDEFOP",2018-02-01,0
"79","CEDEFOP",2018-03-01,0
"80","CEDEFOP",2018-04-01,0
"81","CEDEFOP",2018-05-01,0
"82","CEDEFOP",2018-06-01,0
"83","CEDEFOP",2018-07-01,0
"84","CEDEFOP",2018-08-01,0
"85","CEDEFOP",2018-09-01,0
"86","CEDEFOP",2018-10-01,0
"87","CEDEFOP",2018-11-01,0
"88","CEDEFOP",2018-12-01,0
"89","CEDEFOP",2019-01-01,0
"90","CEDEFOP",2019-02-01,0
"91","CEDEFOP",2019-03-01,0
"92","CEDEFOP",2019-04-01,0
"93","EASA",2015-07-01,0
"94","EASA",2015-08-01,0
"95","EASA",2015-09-01,0
"96","EASA",2015-10-01,0
"97","EASA",2015-11-01,1
"98","EASA",2015-12-01,0
"99","EASA",2016-01-01,0
"100","EASA",2016-02-01,0
"101","EASA",2016-03-01,0
"102","EASA",2016-04-01,1
