"","agencyname","day","hearing"
"1","BEREC OFFICE",2015-07-01,0
"2","BEREC OFFICE",2015-07-02,0
"3","BEREC OFFICE",2015-07-03,0
"4","BEREC OFFICE",2015-07-04,0
"5","BEREC OFFICE",2015-07-05,0
"6","BEREC OFFICE",2015-07-06,0
"7","BEREC OFFICE",2015-07-07,0
"8","BEREC OFFICE",2015-07-08,0
"9","BEREC OFFICE",2015-07-09,0
"10","BEREC OFFICE",2015-07-10,0
"11","BEREC OFFICE",2015-07-11,0
"12","BEREC OFFICE",2015-07-12,0
"13","BEREC OFFICE",2015-07-13,0
"14","BEREC OFFICE",2015-07-14,0
"15","BEREC OFFICE",2015-07-15,0
"16","BEREC OFFICE",2015-07-16,0
"17","BEREC OFFICE",2015-07-17,0
"18","BEREC OFFICE",2015-07-18,0
"19","BEREC OFFICE",2015-07-19,0
"20","BEREC OFFICE",2015-07-20,0
"21","BEREC OFFICE",2015-07-21,0
"22","BEREC OFFICE",2015-07-22,0
"23","BEREC OFFICE",2015-07-23,0
"24","BEREC OFFICE",2015-07-24,0
"25","BEREC OFFICE",2015-07-25,0
"26","BEREC OFFICE",2015-07-26,0
"27","BEREC OFFICE",2015-07-27,0
"28","BEREC OFFICE",2015-07-28,0
"29","BEREC OFFICE",2015-07-29,0
"30","BEREC OFFICE",2015-07-30,0
"31","BEREC OFFICE",2015-07-31,0
"32","BEREC OFFICE",2015-08-01,0
"33","BEREC OFFICE",2015-08-02,0
"34","BEREC OFFICE",2015-08-03,0
"35","BEREC OFFICE",2015-08-04,0
"36","BEREC OFFICE",2015-08-05,0
"37","BEREC OFFICE",2015-08-06,0
"38","BEREC OFFICE",2015-08-07,0
"39","BEREC OFFICE",2015-08-08,0
"40","BEREC OFFICE",2015-08-09,0
"41","BEREC OFFICE",2015-08-10,0
"42","BEREC OFFICE",2015-08-11,0
"43","BEREC OFFICE",2015-08-12,0
"44","BEREC OFFICE",2015-08-13,0
"45","BEREC OFFICE",2015-08-14,0
"46","BEREC OFFICE",2015-08-15,0
"47","BEREC OFFICE",2015-08-16,0
"48","BEREC OFFICE",2015-08-17,0
"49","BEREC OFFICE",2015-08-18,0
"50","BEREC OFFICE",2015-08-19,0
"51","BEREC OFFICE",2015-08-20,0
"52","BEREC OFFICE",2015-08-21,0
"53","BEREC OFFICE",2015-08-22,0
"54","BEREC OFFICE",2015-08-23,0
"55","BEREC OFFICE",2015-08-24,0
"56","BEREC OFFICE",2015-08-25,0
"57","BEREC OFFICE",2015-08-26,0
"58","BEREC OFFICE",2015-08-27,0
"59","BEREC OFFICE",2015-08-28,0
"60","BEREC OFFICE",2015-08-29,0
"61","BEREC OFFICE",2015-08-30,0
"62","BEREC OFFICE",2015-08-31,0
"63","BEREC OFFICE",2015-09-01,0
"64","BEREC OFFICE",2015-09-02,0
"65","BEREC OFFICE",2015-09-03,0
"66","BEREC OFFICE",2015-09-04,0
"67","BEREC OFFICE",2015-09-05,0
"68","BEREC OFFICE",2015-09-06,0
"69","BEREC OFFICE",2015-09-07,0
"70","BEREC OFFICE",2015-09-08,0
"71","BEREC OFFICE",2015-09-09,0
"72","BEREC OFFICE",2015-09-10,0
"73","BEREC OFFICE",2015-09-11,0
"74","BEREC OFFICE",2015-09-12,0
"75","BEREC OFFICE",2015-09-13,0
"76","BEREC OFFICE",2015-09-14,0
"77","BEREC OFFICE",2015-09-15,0
"78","BEREC OFFICE",2015-09-16,0
"79","BEREC OFFICE",2015-09-17,0
"80","BEREC OFFICE",2015-09-18,0
"81","BEREC OFFICE",2015-09-19,0
"82","BEREC OFFICE",2015-09-20,0
"83","BEREC OFFICE",2015-09-21,0
"84","BEREC OFFICE",2015-09-22,0
"85","BEREC OFFICE",2015-09-23,0
"86","BEREC OFFICE",2015-09-24,0
"87","BEREC OFFICE",2015-09-25,0
"88","BEREC OFFICE",2015-09-26,0
"89","BEREC OFFICE",2015-09-27,0
"90","BEREC OFFICE",2015-09-28,0
"91","BEREC OFFICE",2015-09-29,0
"92","BEREC OFFICE",2015-09-30,0
"93","BEREC OFFICE",2015-10-01,0
"94","BEREC OFFICE",2015-10-02,0
"95","BEREC OFFICE",2015-10-03,0
"96","BEREC OFFICE",2015-10-04,0
"97","BEREC OFFICE",2015-10-05,0
"98","BEREC OFFICE",2015-10-06,0
"99","BEREC OFFICE",2015-10-07,0
"100","BEREC OFFICE",2015-10-08,0
"101","BEREC OFFICE",2015-10-09,0
"102","BEREC OFFICE",2015-10-10,0
"103","BEREC OFFICE",2015-10-11,0
"104","BEREC OFFICE",2015-10-12,0
"105","BEREC OFFICE",2015-10-13,0
"106","BEREC OFFICE",2015-10-14,0
"107","BEREC OFFICE",2015-10-15,0
"108","BEREC OFFICE",2015-10-16,0
"109","BEREC OFFICE",2015-10-17,0
"110","BEREC OFFICE",2015-10-18,0
"111","BEREC OFFICE",2015-10-19,0
"112","BEREC OFFICE",2015-10-20,0
"113","BEREC OFFICE",2015-10-21,0
"114","BEREC OFFICE",2015-10-22,0
"115","BEREC OFFICE",2015-10-23,0
"116","BEREC OFFICE",2015-10-24,0
"117","BEREC OFFICE",2015-10-25,0
"118","BEREC OFFICE",2015-10-26,0
"119","BEREC OFFICE",2015-10-27,0
