"","month","acronym","media_count","media_threat"
"1",2015-07-01,"ACER",0,"no"
"2",2015-08-01,"ACER",1,"yes"
"3",2015-09-01,"ACER",1,"yes"
"4",2015-10-01,"ACER",0,"no"
"5",2015-11-01,"ACER",0,"no"
"6",2015-12-01,"ACER",0,"no"
"7",2016-01-01,"ACER",1,"yes"
"8",2016-02-01,"ACER",0,"no"
"9",2016-03-01,"ACER",0,"no"
"10",2016-04-01,"ACER",0,"no"
"11",2016-05-01,"ACER",0,"no"
"12",2016-06-01,"ACER",0,"no"
"13",2016-07-01,"ACER",0,"no"
"14",2016-08-01,"ACER",0,"no"
"15",2016-09-01,"ACER",0,"no"
"16",2016-10-01,"ACER",0,"no"
"17",2016-11-01,"ACER",0,"no"
"18",2016-12-01,"ACER",1,"yes"
"19",2017-01-01,"ACER",0,"no"
"20",2017-02-01,"ACER",0,"no"
"21",2017-03-01,"ACER",0,"no"
"22",2017-04-01,"ACER",0,"no"
"23",2017-05-01,"ACER",0,"no"
"24",2017-06-01,"ACER",1,"yes"
"25",2017-07-01,"ACER",0,"no"
"26",2017-08-01,"ACER",0,"no"
"27",2017-09-01,"ACER",0,"no"
"28",2017-10-01,"ACER",0,"no"
"29",2017-11-01,"ACER",1,"yes"
"30",2017-12-01,"ACER",0,"no"
"31",2018-01-01,"ACER",0,"no"
"32",2018-02-01,"ACER",0,"no"
"33",2018-03-01,"ACER",0,"no"
"34",2018-04-01,"ACER",0,"no"
"35",2018-05-01,"ACER",0,"no"
"36",2018-06-01,"ACER",1,"no"
"37",2018-07-01,"ACER",0,"no"
"38",2018-08-01,"ACER",0,"no"
"39",2018-09-01,"ACER",1,"no"
"40",2018-10-01,"ACER",0,"no"
"41",2018-11-01,"ACER",0,"no"
"42",2018-12-01,"ACER",0,"no"
"43",2019-01-01,"ACER",0,"no"
"44",2019-02-01,"ACER",0,"no"
"45",2019-03-01,"ACER",0,"no"
"46",2019-04-01,"ACER",1,"yes"
"47",2019-05-01,"ACER",0,"no"
"48",2019-06-01,"ACER",0,"no"
"49",2019-07-01,"ACER",0,"no"
"50",2019-08-01,"ACER",0,"no"
"51",2019-09-01,"ACER",0,"no"
"52",2019-10-01,"ACER",0,"no"
"53",2019-11-01,"ACER",0,"no"
"54",2019-12-01,"ACER",0,"no"
"55",2020-01-01,"ACER",0,"no"
"56",2020-02-01,"ACER",0,"no"
"57",2020-03-01,"ACER",0,"no"
"58",2020-04-01,"ACER",0,"no"
"59",2020-05-01,"ACER",0,"no"
"60",2020-06-01,"ACER",0,"no"
"61",2020-07-01,"ACER",0,"no"
"62",2020-08-01,"ACER",0,"no"
"63",2020-09-01,"ACER",0,"no"
"64",2020-10-01,"ACER",0,"no"
"65",2020-11-01,"ACER",0,"no"
"66",2020-12-01,"ACER",0,"no"
"67",2021-01-01,"ACER",0,"no"
"68",2021-02-01,"ACER",0,"no"
"69",2021-03-01,"ACER",0,"no"
"70",2021-04-01,"ACER",0,"no"
"71",2021-05-01,"ACER",0,"no"
"72",2021-06-01,"ACER",0,"no"
"73",2015-07-01,"BEREC OFFICE",0,"no"
"74",2015-08-01,"BEREC OFFICE",0,"no"
"75",2015-09-01,"BEREC OFFICE",0,"no"
"76",2015-10-01,"BEREC OFFICE",0,"no"
"77",2015-11-01,"BEREC OFFICE",0,"no"
"78",2015-12-01,"BEREC OFFICE",0,"no"
"79",2016-01-01,"BEREC OFFICE",0,"no"
"80",2016-02-01,"BEREC OFFICE",0,"no"
"81",2016-03-01,"BEREC OFFICE",0,"no"
"82",2016-04-01,"BEREC OFFICE",0,"no"
"83",2016-05-01,"BEREC OFFICE",0,"no"
"84",2016-06-01,"BEREC OFFICE",1,"yes"
"85",2016-07-01,"BEREC OFFICE",0,"no"
"86",2016-08-01,"BEREC OFFICE",0,"no"
"87",2016-09-01,"BEREC OFFICE",3,"yes"
"88",2016-10-01,"BEREC OFFICE",0,"no"
"89",2016-11-01,"BEREC OFFICE",0,"no"
"90",2016-12-01,"BEREC OFFICE",0,"no"
"91",2017-01-01,"BEREC OFFICE",1,"yes"
"92",2017-02-01,"BEREC OFFICE",0,"no"
"93",2017-03-01,"BEREC OFFICE",0,"no"
"94",2017-04-01,"BEREC OFFICE",2,"yes"
"95",2017-05-01,"BEREC OFFICE",0,"no"
"96",2017-06-01,"BEREC OFFICE",2,"yes"
"97",2017-07-01,"BEREC OFFICE",1,"yes"
"98",2017-08-01,"BEREC OFFICE",0,"no"
"99",2017-09-01,"BEREC OFFICE",0,"no"
"100",2017-10-01,"BEREC OFFICE",0,"no"
"101",2017-11-01,"BEREC OFFICE",0,"no"
"102",2017-12-01,"BEREC OFFICE",0,"no"
"103",2018-01-01,"BEREC OFFICE",0,"no"
"104",2018-02-01,"BEREC OFFICE",0,"no"
"105",2018-03-01,"BEREC OFFICE",0,"no"
"106",2018-04-01,"BEREC OFFICE",0,"no"
"107",2018-05-01,"BEREC OFFICE",0,"no"
"108",2018-06-01,"BEREC OFFICE",0,"no"
"109",2018-07-01,"BEREC OFFICE",0,"no"
"110",2018-08-01,"BEREC OFFICE",1,"yes"
"111",2018-09-01,"BEREC OFFICE",0,"no"
"112",2018-10-01,"BEREC OFFICE",0,"no"
"113",2018-11-01,"BEREC OFFICE",1,"yes"
"114",2018-12-01,"BEREC OFFICE",0,"no"
"115",2019-01-01,"BEREC OFFICE",0,"no"
"116",2019-02-01,"BEREC OFFICE",0,"no"
"117",2019-03-01,"BEREC OFFICE",0,"no"
"118",2019-04-01,"BEREC OFFICE",0,"no"
"119",2019-05-01,"BEREC OFFICE",0,"no"
"120",2019-06-01,"BEREC OFFICE",0,"no"
"121",2019-07-01,"BEREC OFFICE",0,"no"
"122",2019-08-01,"BEREC OFFICE",0,"no"
"123",2019-09-01,"BEREC OFFICE",0,"no"
"124",2019-10-01,"BEREC OFFICE",0,"no"
"125",2019-11-01,"BEREC OFFICE",1,"no"
"126",2019-12-01,"BEREC OFFICE",0,"no"
"127",2020-01-01,"BEREC OFFICE",0,"no"
"128",2020-02-01,"BEREC OFFICE",0,"no"
"129",2020-03-01,"BEREC OFFICE",0,"no"
"130",2020-04-01,"BEREC OFFICE",0,"no"
"131",2020-05-01,"BEREC OFFICE",0,"no"
