"";"Flesch.first";"text.first";"Flesch.mid";"text.mid";"Flesch.nineth";"text.nineth"
"1";20,4;"How about criminalizing the policemen's coaching of victims to reconcile with their abusers? Experienced it first hand.";54,8;"Hey, this is pretty horrific, pretty sure shit like this had the continent engaged in some bloody warfare less than a century ago";119,2;"Way to go!   "
"2";14,6;"Give me the reason of your silence !!!!!! ???? Italian Air Ambulance Waiting Outside Hospital as Emergency ... Italian government has granted the child Italian citizenship and lined up a transportation plan that could swiftly bring the sick little boy to a Vatican hospital.";59,7;"You mean equality of the sexes?";120,2;"death squad"
"3";3,4;"Data collection yes absolutely for the shipping industry. We need thinking the incorporation of methods to interpretate the data. Therefore, new technologies should be introduced in this endeavour Machine learning is something that deserves our attention";52,9;"RT We recommended extending use of  to include treatment of  ";117,2;"*yawn* what else is new?"
"4";20,6;"In our recovery we find a way of living a full productive healthy life with no need to escape our feelings and emotions. Recovery is a healing process. We in our therapies see and feel our self in other people. Recovery and healing is a spiritual healing process.";53,5;"Thank you for all the support and opportunities for patients to play a part in meds development over the years. Very sorry   that you re going.";118,2;"What have we done?  "
"5";0,3;"- Ok. But the  cooperation  pushed  & regionally often dissuades  action -";60,2;"""A fool learns from his experience. A wise person learns from the experience of others.""von Bismarck";119,2;"404 Not Found"
"6";22,8;"Nice, again totally neglecting the single dose  recipients. Not everybody was lucky enough to receive 2 doses of  and get to be reassured with plenty of real-world efficacy data in light of  Take that into consideration when you talk about a  3rd dose .";55,2;"Hello! Do you know if EMA will approve other vaccines already approved by WHO? Such as sinopharm?";112,1;"When Kids 5 - 11 ? How long we have to wait ?"
"7";17,5;"Brazil needs help! 226,000 dead, more than 9,000,000 infected, economy collapsing and the president of the republic is a denialist - he is against protective measures, he indicates dangerous treatment! It denies the gravity of the situation.";60,4;"In light if all current restrictions in Europe I find this post a bit of a joke! But I guess it keeps you guys employed, so on you go, blather on about theoretical rights....";119,2;"Shame on you  "
"8";0,4;"Conclusion:Treatment is Big Business Dependent on Drug Prohibition Feeder. Gravy-Train-Riding Prohibitionists";55,2;"Thank you. But i thought it already was under evaluation but melanoma is not on the list.";100,2;"just featured you on my"
"9";23,7;"Regarding the increase of the threshold provided for Prospectus Regulation (Article 3(2)) it will be very helpful for us to have an updated picture of the different threshold applicable across EU.";53,5;"Stop article 13 u will spread more of unemployment in europe and why all countries in european union are dumbass and they dont have open mind";119,2;"Tune in with "
"10";21,4;"UN security council first topic for discussion ought to be the nonstop Amhara Genocide in Ethiopia";55,9;"It's shame on  as country to violate a law like this,how come to protect such criminal with heay crimes like this,the cridibility of spain is getting down,it's a real test to prove if it respect law or not ";119,2;"Yes why, Frans?"
